
2024/11/25 (00:53:03) | ===> btop++ v.1.3.2
2024/11/25 (18:48:07) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:09) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:11) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:13) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:14) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:15) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:19) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:20) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:21) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:22) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:23) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:24) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:27) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:28) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:29) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:39) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:40) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:41) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:42) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:43) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:44) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:45) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:46) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:47) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:48) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:49) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:50) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/11/25 (18:48:51) | WARNING: Error in Mem::collect() : std::future_error: No associated state
